HWSER137;;Juruviara;Juruviara;;200.156.33.36;;;;;;HARDWARE;SERVIDOR;;;GSI;;;;;;;;;Servidor Banco de Dados Mysql;;;;;;;;;
HWSER138;;LORIS;LORIS;;200.156.33.15;;;;;;HARDWARE;SERVIDOR;;DataCenter;GTI;;;;;;;;;Servidor de contingência do BD Sql-Server ;;;;;;;;;
HWSER139;;Lugia;Lugia;;10.10.1.78;;;;;;HARDWARE;SERVIDOR;;;;;;;;;;;;Máquina Virtual – Relay para CRM e Servidor de Impressão ;;;;;;;;;
HWSER140;;Malin;Malin;;;;;;;;HARDWARE;SERVIDOR;;;;;;;;;;;;;;;;;;;;;
HWSER141;;Mandarim;Mandarim;;10.14.0.52;;;;;;HARDWARE;SERVIDOR;;DataCenter;;;;;;;;;;Servidor Banco de Dados SQL Server 2000 - Desenvolvimento;;;;;;;;;
HWSER142;;Manon;Manon;;10.14.0.25;;;;;;HARDWARE;SERVIDOR;;DataCenter;GTI;;;;;;;;;Servidor APPLINX, Desenvolvimento, Natural Web, Ixpress, Servidor de Conexões, Servidor OLAP  de Desenvolvimento;;;;;;;;;
HWSER143;;Marianinha;Marianinha;;10.10.8.2;;;;;;HARDWARE;SERVIDOR;;DataCenter;;;;;;;;;;Applinx de Produção;;;;;;;;;
HWSER144;;Maritaca;Maritaca;;10.10.8.51;;;;;;HARDWARE;SERVIDOR;;DataCenter;GSI;;;;;;;;;Servidor Web de Produção - Sites do Governo;;;;;;;;;
HWSER145;;Martim_Pescador;Martim_Pescador;;10.4.55.18;;;;;;HARDWARE;SERVIDOR;;DataCenter;;;;;;;;;;Servidor Web Produção Balanceado – Sites do Governo;;;;;;;;;
HWSER146;;mineirinho;mineirinho;;10.10.8.29 ;;;;;;HARDWARE;SERVIDOR;;DataCenter;;;;;;;;;;Portal Intragov - Web;;;;;;;;;
HWSER148;;Narceja;Narceja;;10.10.1.74;;;;;;HARDWARE;SERVIDOR;;DataCenter ;;;;;;;;;;Servidor Laboratório Virtual;;;;;;;;;
HWSER151;;Papagaio;Papagaio;;10.10.0.90;;;;;;HARDWARE;SERVIDOR;;;SEDUC;;;;;;;;;Servidor Web Produção EAD;;;;;;;;;
HWSER152;;Paru;Paru;;;;;;;;HARDWARE;SERVIDOR;;;;;;;;;;;;;;;;;;;;;
HWSER153;;Patativa;Patativa;;10.14.0.90;;;;;;HARDWARE;SERVIDOR;;DataCenter;GTI;;;;;;;;;Rede produção ;;;;;;;;;
HWSER154;;Pato;Pato;;200.156.33.30;;;;;;HARDWARE;SERVIDOR;;DataCenter;GTI;;;;;;;;;Servidor Oracle / Stand-by do Marreco - Matrícula;;;;;;;;;
HWSER155;;Perdiz;Perdiz;;10.10.8.65;;;;;;HARDWARE;SERVIDOR;;DataCenter ;GSI;;;;;;;;;Servidor Web - Java - Jbass;;;;;;;;;
HWSER156;;Periquito;Periquito;;10.14.0.51;;;;;;HARDWARE;SERVIDOR;;DataCenter;GTI;;;;;;;;;Servidor Banco de Dados Oracle - Desenvolvimento;;;;;;;;;
HWSER157;;Phoenix;Phoenix;;10.12.44.9;;;;;;HARDWARE;SERVIDOR;;Datacenter;GSI;;;;;;;;;Servidor de NTP e WSUS;;;;;;;;;
HWSER158;;Picapau;Picapau;;10.10.2.200;;;;;;HARDWARE;SERVIDOR;;;;;;;;;;;;;;;;;;;;;
HWSER159;;Pinguim;Pinguim;;10.4.55.82;;;;;;HARDWARE;SERVIDOR;;DataCenter;GSI;;;;;;;;;Servidor Web de LINUX;;;;;;;;;
HWSER160;;Pintagol;Pintagol;;10.10.8.31;;;;;;HARDWARE;SERVIDOR;;DataCenter;GSI;;;;;;;;;Servidor de AD – Domínio intragov – produção ;;;;;;;;;
HWSER161;;Pintassilgo;Pintassilgo;;10.10.8.5;;;;;;HARDWARE;SERVIDOR;;DataCenter;GSS;;;;;;;;;Servidor Web Produção / Homologação - Sites do Governo;;;;;;;;;
HWSER162;;Pisco;Pisco;;10.10.1.90;;;;;;HARDWARE;SERVIDOR;;;;;;;;;;;;Servidor Nagios - CIC;;;;;;;;;
HWSER163;;Quetzal;Quetzal;;200.156.33.10;;;;;;HARDWARE;SERVIDOR;;DataCenter;;;;;;;;;;Servidor Banco de Dados SQL Server 2000 - Produção – CRM;;;;;;;;;
HWSER164;;Quivi;Quivi;;200.20.57.20;;;;;;HARDWARE;SERVIDOR;;DataCenter;GSI;;;;;;;;;Servidor Aplicação - CRM (CallCenter) ;;;;;;;;;
HWSER165;;Rosella;Rosella;;10.14.0.89;;;;;;HARDWARE;SERVIDOR;;DataCenter;GTI;;;;;;;;;Servidor Business Objects;;;;;;;;;
HWSER166;;Rouxinol;Rouxinol;;10.14.0.22;;;;;;HARDWARE;SERVIDOR;;DataCenter;GSI;;;;;;;;;Servidor Web Desenvolvimento;;;;;;;;;
HWSER167;;Sabia;Sabia;;10.10.8.68;;;;;;HARDWARE;SERVIDOR;;DataCenter;GTI;;;;;;;;;Serv. IXPRESS Produção, Serv. Conexões Natural Web;;;;;;;;;
HWSER168;;Sai;Sai;;10.10.8.57;;;;;;HARDWARE;SERVIDOR;;;;;;;;;;;;sec M. Ambiente;;;;;;;;;
HWSER169;;Saira;Saira;;10.12.255.20;;;;;;HARDWARE;SERVIDOR;;DataCenter;GSI;;;;;;;;;CA;;;;;;;;;
HWSER170;;Saira-bkp;Saira-bkp;;10.12.255.21;;;;;;HARDWARE;SERVIDOR;;DataCenter;GSI;;;;;;;;;CA;;;;;;;;;
HWSER171;;Savacu;Savacu;;10.14.0.10;;;;;;HARDWARE;SERVIDOR;;DataCenter;GSI;;;;;;;;;Servidor de Subversion Proderj;;;;;;;;;
HWSER172;;Secretario;Secretario;;10.12.44.28;;;;;;HARDWARE;SERVIDOR;;DataCenter;GRT;;;;;;;;;Servidor Homologação de video conferencia;;;;;;;;;
HWSER173;;See – Est 01;See – Est 01;;200.20.28.53;;;;;;HARDWARE;SERVIDOR;;;;;;;;;;;;Servidor de Sistema de escolas extintas;;;;;;;;;
HWSER174;;See – Est 03 ;See – Est 03 ;;200.20.28.51 ;;;;;;HARDWARE;SERVIDOR;;;;;;;;;;;;Servidor de Sistema Reinventando a Escola;;;;;;;;;
