"CHAVE" "HOST NAME" "IP" "STATUS"
"SWSOP092" "-" "-" "OPERACIONAL"
"SWSOP093" "-" "-" "OPERACIONAL"
"SWSOP094" "-" "-" "OPERACIONAL"
"SWSOP095" "-" "-" "OPERACIONAL"
"SWSOP096" "-" "-" "OPERACIONAL"
"SWSOP097" "-" "-" "OPERACIONAL"
"SWSOP098" "-" "-" "OPERACIONAL"
"SWSOP099" "-" "-" "OPERACIONAL"
"SWSOP100" "-" "-" "OPERACIONAL"
"SWSOP101" "-" "-" "OPERACIONAL"
"SWSOP102" "-" "-" "OPERACIONAL"
"SWSOP103" "-" "-" "OPERACIONAL"
"SWSOP104" "-" "-" "OPERACIONAL"
"SWSOP105" "-" "-" "OPERACIONAL"
"SWSOP106" "-" "-" "OPERACIONAL"
"SWSOP107" "-" "-" "OPERACIONAL"
"SWSOP108" "-" "-" "OPERACIONAL"
"SWSOP109" "-" "-" "OPERACIONAL"
"SWSOP110" "-" "-" "OPERACIONAL"
"SWSOP111" "-" "-" "OPERACIONAL"
"SWSOP112" "-" "-" "OPERACIONAL"
"SWSOP113" "-" "-" "OPERACIONAL"
"SWSOP114" "-" "-" "OPERACIONAL"
"SWSOP115" "-" "-" "OPERACIONAL"
"SWSOP116" "-" "-" "OPERACIONAL"
"SWSOP117" "-" "-" "OPERACIONAL"
"SWSOP118" "-" "-" "OPERACIONAL"
"SWSOP119" "-" "-" "OPERACIONAL"
"SWSOP120" "-" "-" "OPERACIONAL"
"SWSOP121" "-" "-" "OPERACIONAL"
"SWSOP122" "-" "-" "OPERACIONAL"
"SWSOP123" "-" "-" "OPERACIONAL"
"SWSOP124" "-" "-" "OPERACIONAL"
"SWSOP125" "-" "-" "OPERACIONAL"
"SWSOP126" "-" "-" "OPERACIONAL"
"SWSOP127" "-" "-" "OPERACIONAL"
"SWSOP128" "-" "-" "OPERACIONAL"
"SWSOP129" "-" "-" "OPERACIONAL"
"SWSOP130" "-" "-" "OPERACIONAL"
"SWSOP131" "-" "-" "OPERACIONAL"
"SWSOP132" "-" "-" "OPERACIONAL"
"SWSOP133" "-" "-" "OPERACIONAL"
"SWSOP134" "-" "-" "OPERACIONAL"
"SWSOP135" "-" "-" "OPERACIONAL"
"SWSOP136" "-" "-" "OPERACIONAL"
"SWSOP137" "-" "-" "OPERACIONAL"
"SWSOP138" "-" "-" "OPERACIONAL"
"SWSOP139" "-" "-" "OPERACIONAL"
"SWSOP140" "-" "-" "OPERACIONAL"
"SWSOP141" "-" "-" "OPERACIONAL"
"SWSOP142" "-" "-" "OPERACIONAL"
"SWSOP143" "-" "-" "OPERACIONAL"
"SWSOP144" "-" "-" "OPERACIONAL"
"SWSOP145" "-" "-" "OPERACIONAL"
"SWSOP146" "-" "-" "OPERACIONAL"
"SWSOP147" "IOS" "-" "OPERACIONAL"
"SWSOP148" "IOS" "-" "OPERACIONAL"
"SWSVC001" "-" "-" "OPERACIONAL"
"SWSVC002" "-" "-" "OPERACIONAL"
"SWSVC003" "-" "-" "OPERACIONAL"
"SWSVC004" "-" "-" "OPERACIONAL"
"SWSVC005" "-" "-" "OPERACIONAL"
"SWSVC006" "-" "-" "OPERACIONAL"
"SWSVC007" "-" "-" "OPERACIONAL"
"SWSVC008" "-" "-" "OPERACIONAL"
"SWSVC009" "-" "-" "OPERACIONAL"
"SWSVC010" "-" "-" "OPERACIONAL"
"SWSVC011" "-" "-" "OPERACIONAL"
"SWSVC012" "-" "-" "OPERACIONAL"
"SWSVC013" "-" "-" "OPERACIONAL"
"SWSVC014" "-" "-" "OPERACIONAL"
"SWSVC015" "-" "-" "OPERACIONAL"
"SWSVC016" "-" "-" "OPERACIONAL"
"SWSVC017" "-" "-" "OPERACIONAL"
"SWSVC018" "-" "-" "OPERACIONAL"
"SWSVC019" "-" "-" "OPERACIONAL"
"SWSVC020" "-" "-" "OPERACIONAL"
"SWSVC021" "-" "-" "OPERACIONAL"
"SWSVC022" "SMTP" "-" "OPERACIONAL"
"SWSVC023" "SMTP" "-" "OPERACIONAL"
"SWSVC024" "HTTP" "-" "OPERACIONAL"
"SWSVC025" "HTTP" "-" "OPERACIONAL"
"SWSVC026" "IMAP" "-" "OPERACIONAL"
"SWSVC027" "IMAP" "-" "OPERACIONAL"
"SWSVC028" "LDAP" "-" "OPERACIONAL"
"SWSVC029" "HTTP" "-" "OPERACIONAL"
"SWSVC030" "DNS" "-" "OPERACIONAL"
"SWSVC031" "DNS" "-" "OPERACIONAL"
"SWSVC032" "HTTP" "-" "OPERACIONAL"
"SWSVC033" "HTTP" "-" "OPERACIONAL"
"SWSVC034" "HTTP" "-" "OPERACIONAL"
"SWSVC035" "HTTP" "-" "OPERACIONAL"
"SWSVC036" "FTP" "-" "OPERACIONAL"
"SWSVC037" "PROXY" "-" "OPERACIONAL"
"SWSVC038" "PROXY" "-" "OPERACIONAL"
"SWVMW001" "Jaguatirica2" "10.12.18.21" "OPERACIONAL"
"SWVMW002" "Jubarte" "10.12.18.6" "OPERACIONAL"
"SWVMW003" "Jupiter" "10.12.18.7" "OPERACIONAL"
"SWVMW004" "Netprinter" "10.12.18.2" "OPERACIONAL"
"SWVMW005" "JUPITER" "10.12.18.3" "OPERACIONAL"
"SWVMW006" "Jacare" "10.12.18.41" "OPERACIONAL"
"SWVMW007" "Sgecoord01" "10.12.22.145" "OPERACIONAL"
"SWVMW008" "Urubu" "10.12.18.43" "OPERACIONAL"
"SWVMW009" "Bigua" "10.10.255.10" "OPERACIONAL"
"SWVMW010" "Ararajuba" "10.10.255.11" "OPERACIONAL"
"SWVMW011" "TRITON" "10.12.18.8" "OPERACIONAL"
"SWVMW012" "Cajubi" "10.4.55.130" "OPERACIONAL"
"SWVMW013" "Codorna" "10.4.55.138" "OPERACIONAL"
"SWVMW014" "Coleira" "10.10.8.53" "OPERACIONAL"
"SWVMW015" "Tejo" "10.4.55.132" "OPERACIONAL"
"SWVMW016" "Cajubi_c" "10.4.55.131" "OPERACIONAL"
"SWVMW017" "Codorna_c" "10.4.55.139" "OPERACIONAL"
"SWVMW018" "Coleira_c" "10.4.55.124" "OPERACIONAL"
"SWVMW019" "Tejo_c" "10.4.55.133" "OPERACIONAL"
"SWVMW020" "TECHNE_WEB" "10.50.12.2" "OPERACIONAL"
"SWVMW021" "TECHNE_SEEDUCBD" "10.50.12.3" "OPERACIONAL"
"SWVMW022" "OI_WINSRV" "10.50.12.1" "OPERACIONAL"
"SWVSR001" "Usuario IMAP" "NA" "Producao"
"SWVSR002" "Servidor SMTP" "NA" "Producao"
"SWVSR003" "NA" "NA" "Producao"
"SWVSR004" "NA" "NA" "Producao"
"SWVSR005" "NA" "NA" "Producao"
"SWVSR006" "NA" "NA" "Producao"
"SWVSR007" "NA" "NA" "Producao"
"SWVSR008" "NA" "NA" "Producao"
"SWVSR009" "NA" "NA" "Producao"
"SWVSR011" "NA" "NA" "Producao"
"SWVSR012" "NA" "NA" "Producao"
"SWVSR013" "NA" "NA" "Producao"
"SWVSR014" "NA" "NA" "Producao"
"SWVSR015" "NA" "NA" "Producao"
