HWSER164;Quivi;200.20.57.20;-
HWSER165;Rosella;10.14.0.89;-
HWSER166;Rouxinol;10.14.0.22;-
HWSER167;Sabia;10.10.8.68;-
HWSER168;Sai;10.10.8.57;-
HWSER169;Saira;10.12.255.20;-
HWSER170;Saira-bkp;10.12.255.21;-
HWSER171;Savacu;10.14.0.10;-
HWSER172;Secretario;10.12.44.28;-
HWSER173;See_Est_01;200.20.28.53;-
HWSER174;See_Est_03;200.20.28.51;-
HWSER175;See_Srv01;200.20.28.52;-
HWSER176;see_srv01;10.50.14.100;-
HWSER177;see_est01;10.50.14.103;-
HWSER178;see_est02;10.50.14.102;-
HWSER179;see_est03;10.50.14.101;-
HWSER180;Sef;200.20.29.130;-
HWSER181;Seriema;10.18.0.2;-
HWSER182;Server_BD;10.12.15.3;-
HWSER183;Soldado;200.156.33.23;-
HWSER184;Suiriri;10.10.8.48;-
HWSER185;Sururina;200.20.28.131;-
HWSER186;Tangara;200.20.28.136;-
HWSER189;Tesourinha;10.10.8.66;-
HWSER190;Tie;10.12.44.16;-
HWSER191;Tiesangue;10.10.8.43;-
HWSER192;Tiesangue_2;10.10.8.22;-
HWSER193;Tietinga;10.10.8.50;-
HWSER194;Tiriba;200.156.3.18;-
HWSER195;Tiziu;10.10.8.23;-
HWSER196;Topazio;200.156.33.46;-
HWSER198;Trincaferro;10.10.8.19;-
HWSER199;Tuin;200.156.33.25;-
HWSER235;Tuin_h;200.156.33.26;-
HWSER200;Tuipara;10.10.8.49;-
HWSER236;CORUJA;10.4.55.98;-
HWSER237;ARACUN;10.4.55.99;-
HWSER201;Tuiuiu;10.10.1.26;-
HWSER202;Uirapuru;10.14.0.8;-
HWSER204;Urutau;10.10.8.36;-
HWSER207;Wiki;-;-
HWSER208;Xexeu;10.14.0.24;-
HWSER209;MELRO;10.10.1.102;1
HWSER211;Zorro;10.9.57.5;-
HWSER212;CABOCLINHO1;200.20.29.55;-
HWSER213;PERDIGAO;10.15.2.2;1
HWSER214;TIZIU;10.4.55.28;1
HWSER215;TROVOADA;10.10.8.77;1
HWSER216;TUQUE;10.9.57.6;1
HWSER217;JAPI;10.10.8.54;1
HWSER218;URACA;10.4.55.163;1
HWSER219;TUINDA;10.10.1.4;1
HWSER220;VIUVA;10.10.255.4;1
HWSER221;BAIETA;10.14.0.13;1
HWSER222;VIVI;10.14.0.14;1
HWSER223;XURE;10.10.8.73;1
HWSER224;TOVACA;10.10.8.74;1
HWSER225;TETEU;10.10.8.75;1
HWSER226;RUIVA;10.10.8.76;1
HWSER230;Srv_ROLINHA;10.4.61.53;-
HWSER231;SUINDARA;10.10.8.81;-
HWSER233;VIDEO_CONFERENCIA;10.3.187.4;
HWSER234;VIDEO_CONFERENCIA;200.222.72.12;
HWSER238;cardeal_c;10.9.57.4;
HWSER239;cardeal_h;10.9.57.132;
HWSER240;Chapinha;10.15.2.7;
HWSER241;Chapinha_h;10.15.2.8;
HWSER242;Cigana;200.156.33.70;
HWSER243;saltador;10.9.57.133;
HWSER244;Ostreiro;200.156.33.60;
HWSER245;Ostreiro_c;200.156.33.61;
HWSER246;Itatiaia_Nhangabi;10.9.59.193;
HWSER247;Levy_Gasparian_Gulf;10.9.59.225;
HWSER248;Campos_Mato_Verde;10.9.60.1;
HWSER249;Itaperuna_Timbo;10.9.60.33;
HWSER250;Angra_Pontal;10.9.60.65;
HWSER251;Srv_BESOURINHO;10.3.157.109;
HWSER252;Alcatraz;10.4.58.2;
HWSER253;Alcatraz;10.4.58.12;
HWSER254;Barulhento;10.4.58.3;
HWSER255;Barulhento;10.4.58.13;
HWSER256;Cotinga;10.4.58.4;
HWSER257;Cotinga;10.4.58.14;
HWSER258;Foguinho;10.4.58.5;
HWSER259;Foguinho;10.4.58.15;
HWSER260;Gaturamo;10.4.58.6;
HWSER261;Gaturamo;10.4.58.16;
HWSER262;Piranga;10.9.49.15;
HWSER263;Piruinha;10.9.49.4;
